Date, Kitchen, Kitchen 2nd, Outside
2014-02-12 21:19:45 ,21.812, 22.0, 1.187
2014-02-12 21:19:49 ,21.875, 22.062, 1.187
2014-02-12 21:19:52 ,21.875, 22.062, 1.187
2014-02-12 21:19:56 ,21.875, 22.062, 1.187
2014-02-12 21:47:17 ,22.5, 22.375, 0.937
2014-02-12 21:47:26 ,22.562, 22.375, 0.937
2014-02-12 21:47:31 ,22.562, 22.375, 1.0
2014-02-12 21:47:40 ,22.562, 26.687, 0.937
2014-02-12 21:47:44 ,22.562, 28.062, 1.0
2014-02-12 21:47:49 ,22.562, 28.625, 1.0
2014-02-12 21:47:53 ,22.562, 29.062, 1.0
2014-02-12 21:47:57 ,22.562, 29.187, 1.0
2014-02-12 21:48:01 ,22.562, 27.875, 1.0
2014-02-12 21:48:04 ,22.625, 27.062, 1.0
2014-02-12 21:48:07 ,22.625, 26.562, 1.0
2014-02-12 21:48:27 ,22.562, 24.812, 0.937
2014-02-12 21:48:31 ,22.562, 24.625, 1.0
2014-02-12 21:49:05 ,22.562, 23.625, 0.937
2014-02-12 21:50:04 ,22.562, 22.875, 0.937
2014-02-12 21:51:05 ,22.625, 22.625, 0.875
2014-02-12 21:52:04 ,22.625, 22.5, 0.875
2014-02-12 21:53:05 ,22.562, 22.437, 0.937
2014-02-12 21:54:04 ,22.562, 22.375, 1.0
2014-02-12 21:55:04 ,22.562, 22.375, 0.937
2014-02-12 21:56:04 ,22.562, 22.375, 0.875
2014-02-12 21:57:04 ,22.562, 22.375, 1.0
2014-02-12 21:58:04 ,22.562, 22.312, 0.937
2014-02-12 21:59:04 ,22.625, 22.375, 0.875
2014-02-12 22:00:04 ,22.562, 22.375, 0.812
2014-02-12 22:01:04 ,22.562, 22.375, 0.875
2014-02-12 22:02:05 ,22.625, 22.312, 0.812
2014-02-12 22:03:04 ,22.625, 22.375, 0.812
2014-02-12 22:04:04 ,22.562, 22.312, 0.75
2014-02-12 22:05:04 ,22.562, 22.312, 0.75
2014-02-12 22:06:04 ,22.562, 22.312, 0.75
2014-02-12 22:07:04 ,22.562, 22.25, 0.625
2014-02-12 22:08:04 ,22.562, 22.25, 0.437
2014-02-12 22:09:05 ,22.562, 22.312, 0.375
2014-02-12 22:10:04 ,22.562, 22.312, 0.437
2014-02-12 22:11:05 ,22.562, 22.312, 0.562
2014-02-12 22:12:04 ,22.562, 22.312, 0.812
2014-02-12 22:13:05 ,22.562, 22.312, 0.625
2014-02-12 22:14:04 ,22.562, 22.312, 0.437
2014-02-12 22:15:04 ,22.5, 22.25, 0.437
2014-02-12 22:16:04 ,22.5, 22.312, 0.375
2014-02-12 22:17:04 ,22.562, 22.312, 0.312
2014-02-12 22:18:04 ,22.562, 22.312, 0.187
2014-02-12 22:19:04 ,22.562, 22.312, 0.312
2014-02-12 22:20:05 ,22.562, 22.312, 0.25
2014-02-12 22:21:04 ,22.562, 22.312, 0.187
2014-02-12 22:22:05 ,22.562, 22.312, 0.25
2014-02-12 22:23:04 ,22.5, 22.312, 0.187
2014-02-12 22:24:04 ,22.5, 22.25, 0.187
2014-02-12 22:25:04 ,22.5, 22.25, 0.187
2014-02-12 22:26:04 ,22.5, 22.25, 0.25
2014-02-12 22:27:04 ,22.5, 22.25, 0.312
2014-02-12 22:28:04 ,22.5, 22.187, 0.25
2014-02-12 22:29:04 ,22.437, 22.187, 0.25
2014-02-12 22:30:04 ,22.437, 22.187, 0.25
2014-02-12 22:31:04 ,22.5, 22.25, 0.187
2014-02-12 22:32:04 ,22.562, 22.312, 0.187
2014-02-12 22:33:05 ,22.437, 22.187, 0.25
2014-02-12 22:34:04 ,22.5, 22.187, 0.187
2014-02-12 22:35:05 ,22.5, 22.25, 0.187
2014-02-12 22:36:04 ,22.5, 22.25, 0.187
2014-02-12 22:37:05 ,22.375, 22.187, 0.187
2014-02-12 22:38:04 ,22.437, 22.125, 0.187
2014-02-12 22:39:04 ,22.437, 22.187, 0.062
2014-02-12 22:40:04 ,22.437, 22.187, 0.187
